"sale_price","size","Address","Cities","Postal.Code","State","Full.Address","lon","lat","address"
"$599,000 ","2bd3ba2,296 sqft (on 0.35 acres)","22 Carjen Ave"," Asheville","28804"," NC","22 Carjen Ave,  Asheville,  NC 28804, usa",-82.5722369,35.6360994,"22 carjen ave, asheville, nc 28804, usa"
"$724,475 ","4bd3ba1,994 sqft (on 0.32 acres)","134 Lookout Dr"," Asheville","28804"," NC","134 Lookout Dr,  Asheville,  NC 28804, usa",-82.559773,35.6225864,"134 lookout dr, asheville, nc 28804, usa"
"$435,990+","4bd3ba2,824 sqft","Wilmington Plan in Fountain Park"," Asheville","28806"," NC","Wilmington Plan in Fountain Park,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$349,900 ","","8 Grovepoint Way"," Asheville","28804"," NC","8 Grovepoint Way,  Asheville,  NC 28804, usa",-82.5388271,35.6310836,"8 grovepoint way, asheville, nc 28804, usa"
"$149,900 ","","70 Windover Dr"," Asheville","28803"," NC","70 Windover Dr,  Asheville,  NC 28803, usa",-82.489025,35.509546,"70 windover dr, asheville, nc 28803, usa"
"$428,990+","4bd3ba2,565 sqft","Winston Plan in Fountain Park"," Asheville","28806"," NC","Winston Plan in Fountain Park,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$725,000 ","2bd5ba2,646 sqft (on 0.38 acres)","119 Bull Mountain Rd"," Asheville","28805"," NC","119 Bull Mountain Rd,  Asheville,  NC 28805, usa",-82.4915717,35.5918841,"119 bull mountain rd, asheville, nc 28805, usa"
"$2,650,000 ","4bd3ba3,892 sqft (on 0.29 acres)","158 Kimberly Ave"," Asheville","28804"," NC","158 Kimberly Ave,  Asheville,  NC 28804, usa",-82.5500692,35.6170236,"158 kimberly ave, asheville, nc 28804, usa"
"$1,200,000 ","4bd2ba3,228 sqft (on 1.19 acres)","13 Kent Pl"," Asheville","28804"," NC","13 Kent Pl,  Asheville,  NC 28804, usa",-82.5331606,35.6469997,"kent pl, asheville, nc 28804, usa"
"$299,999 ","4bd2ba1,488 sqft (on 0.28 acres)","14 Fortunate Dr"," Asheville","28806"," NC","14 Fortunate Dr,  Asheville,  NC 28806, usa",-82.6614437,35.6226561,"14 fortunate dr, asheville, nc 28806, usa"
"$3,395,000 ","4bd4ba4,508 sqft (on 7.67 acres)","29 Elk Ridge Dr"," Asheville","28804"," NC","29 Elk Ridge Dr,  Asheville,  NC 28804, usa",-82.5375436,35.6599417,"29 elk ridge dr, asheville, nc 28804, usa"
"$318,990+","3bd3ba1,674 sqft","Denver Plan in Fountain Park Townhomes"," Asheville","28806"," NC","Denver Plan in Fountain Park Townhomes,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$780,000 ","2bd2ba1,736 sqft","13 Park Ave N"," Asheville","28801"," NC","13 Park Ave N,  Asheville,  NC 28801, usa",-82.5663221,35.5901898,"13 park ave n, asheville, nc 28801, usa"
"$1,450,000 ","4bd5ba3,886 sqft (on 1.34 acres)","210 Bridgeman Dr"," Asheville","28803"," NC","210 Bridgeman Dr,  Asheville,  NC 28803, usa",-82.4926498,35.5044875,"210 bridgeman dr, asheville, nc 28803, usa"
"$321,990+","3bd3ba1,699 sqft","Lansing Plan in Fountain Park Townhomes"," Asheville","28806"," NC","Lansing Plan in Fountain Park Townhomes,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$428,990+","4bd3ba2,644 sqft","Biltmore Plan in Fountain Park"," Asheville","28806"," NC","Biltmore Plan in Fountain Park,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$325,000 ","","99999 Pearson Dr"," Asheville","28801"," NC","99999 Pearson Dr,  Asheville,  NC 28801, usa",-82.5765577,35.605753,"99999 pearson dr, asheville, nc 28801, usa"
"$425,000 ","1bd1ba757 sqft","155 S Lexington Ave"," Asheville","28801"," NC","155 S Lexington Ave,  Asheville,  NC 28801, usa",-82.552109,35.5904484,"155 s lexington ave, asheville, nc 28801, usa"
"$384,900 ","2bd2ba1,226 sqft","75 Belmont Ave"," Asheville","28806"," NC","75 Belmont Ave,  Asheville,  NC 28806, usa",-82.6053503,35.5798003,"75 belmont ave, asheville, nc 28806, usa"
"$695,000 ","1bd2ba1,068 sqft","60 N Market St"," Asheville","28801"," NC","60 N Market St,  Asheville,  NC 28801, usa",-82.5510846,35.5979819,"60 n market st, asheville, nc 28801, usa"
"$326,990+","3bd3ba1,774 sqft","Carson Plan in Fountain Park Townhomes"," Asheville","28806"," NC","Carson Plan in Fountain Park Townhomes,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$408,990+","4bd2ba1,764 sqft","Cali Plan in Fountain Park"," Asheville","28806"," NC","Cali Plan in Fountain Park,  Asheville,  NC 28806, usa",-82.6119468,35.5427601,"fountain pk blvd, asheville, nc 28806, usa"
"$725,000 ","2bd3ba2,098 sqft","902 Timber Ln"," Asheville","28804"," NC","902 Timber Ln,  Asheville,  NC 28804, usa",-82.54257,35.636594,"902 timber ln, asheville, nc 28804, usa"
"$699,000 ","3bd3ba2,220 sqft","22 Reagan Run Ct"," Arden","28704"," NC","22 Reagan Run Ct,  Arden,  NC 28704, usa",-82.5204599,35.4783427,"22 reagan run ct, arden, nc 28704, usa"
"$425,000 ","5bd3ba2,185 sqft (on 0.26 acres)","10 Springdale Rd"," Asheville","28805"," NC","10 Springdale Rd,  Asheville,  NC 28805, usa",-82.5345425,35.5880957,"10 springdale rd, asheville, nc 28805, usa"
"$949,900 ","4bd6ba5,500 sqft (on 2.05 acres)","136 Windover Dr"," Asheville","28803"," NC","136 Windover Dr,  Asheville,  NC 28803, usa",-82.4902555,35.5115092,"136 windover dr, asheville, nc 28803, usa"
"$269,000 ","2bd2ba1,236 sqft","54 Pebble Creek Dr"," Asheville","28803"," NC","54 Pebble Creek Dr,  Asheville,  NC 28803, usa",-82.5264668,35.5017275,"54 pebble creek dr, asheville, nc 28803, usa"
"$650,000 ","4bd4ba2,809 sqft","111 Trumpet Ln"," Asheville","28803"," NC","111 Trumpet Ln,  Asheville,  NC 28803, usa",-82.5093027,35.4926004,"111 trumpet ln, asheville, nc 28803, usa"
"$450,000 ","3bd2ba1,307 sqft (on 0.33 acres)","44 Overlook Rd"," Asheville City","28803"," NC","44 Overlook Rd,  Asheville City,  NC 28803, usa",-82.5269449,35.5035082,"44 overlook rd, asheville, nc 28803, usa"
"$675,000 ","3bd3ba1,977 sqft","975 New Haw Creek Rd"," Asheville","28805"," NC","975 New Haw Creek Rd,  Asheville,  NC 28805, usa",-82.5017226,35.6158928,"975 new haw creek rd, asheville, nc 28805, usa"
"$650,000 ","3bd2ba1,412 sqft","91 Virginia Ave"," Asheville","28806"," NC","91 Virginia Ave,  Asheville,  NC 28806, usa",-82.590485,35.5745508,"91 virginia ave, asheville, nc 28806, usa"
"$719,000 ","3bd3ba2,700 sqft","321 Hazel Mill Rd"," Asheville","28806"," NC","321 Hazel Mill Rd,  Asheville,  NC 28806, usa",-82.5893416,35.5913777,"321 hazel mill rd, asheville, nc 28806, usa"
"$367,000 ","3bd2ba1,782 sqft (on 0.32 acres)","2 Valleywood Ct"," Asheville","28803"," NC","2 Valleywood Ct,  Asheville,  NC 28803, usa",-82.5145882,35.4908016,"2 valleywood ct, asheville, nc 28803, usa"
"$650,000 ","2bd1ba1,412 sqft","91 Virginia Ave"," Asheville","28806"," NC","91 Virginia Ave,  Asheville,  NC 28806, usa",-82.590485,35.5745508,"91 virginia ave, asheville, nc 28806, usa"
"$379,000 ","2bd1ba844 sqft","71 5th Ave"," Asheville","28806"," NC","71 5th Ave,  Asheville,  NC 28806, usa",-82.5798409,35.5721101,"71 5th ave, asheville, nc 28806, usa"
"$525,000 ","1bd1ba625 sqft (on 1.73 acres)","362 New Haw Creek Rd"," Asheville","28805"," NC","362 New Haw Creek Rd,  Asheville,  NC 28805, usa",-82.5122429,35.5878066,"362 new haw creek rd, asheville, nc 28805, usa"
"$419,900 ","3bd2ba1,100 sqft (on 0.92 acres)","320 Olivette Rd"," Asheville","28804"," NC","320 Olivette Rd,  Asheville,  NC 28804, usa",-82.6110506,35.6333072,"320 olivette rd, asheville, nc 28804, usa"
"$409,000 ","3bd3ba1,755 sqft","861 W Pointe Dr"," Asheville","28806"," NC","861 W Pointe Dr,  Asheville,  NC 28806, usa",-82.6246086,35.5423965,"861 w pointe dr, asheville, nc 28806, usa"
"$235,000 ","","99999 Howland Rd"," Asheville","28804"," NC","99999 Howland Rd,  Asheville,  NC 28804, usa",-82.5407472,35.6128999,"99999 howland rd, asheville, nc 28804, usa"
"$825,000 ","3bd3ba1,624 sqft (on 0.25 acres)","21 Pinewood Ave"," Asheville","28804"," NC","21 Pinewood Ave,  Asheville,  NC 28804, usa",-82.5698809,35.6396522,"21 pinewood ave, asheville, nc 28804, usa"
"$599,999 ","","80 Park Ave N"," Asheville","28801"," NC","80 Park Ave N,  Asheville,  NC 28801, usa",-82.5656393,35.5881683,"80 park ave n, asheville, nc 28801, usa"
"$2,250,000 ","3bd4ba4,193 sqft (on 0.58 acres)","7 Bee Balm Way"," Asheville","28804"," NC","7 Bee Balm Way,  Asheville,  NC 28804, usa",-82.6113683,35.6532108,"7 bee balm wy, asheville, nc 28804, usa"
"$1,099,000 ","5bd4ba4,226 sqft (on 0.51 acres)","1032 Columbine Rd"," Asheville","28803"," NC","1032 Columbine Rd,  Asheville,  NC 28803, usa",-82.5444329,35.4851629,"1032 columbine rd, asheville, nc 28803, usa"
"$299,000 ","3bd2ba1,040 sqft (on 0.32 acres)","328 Camelia Ln"," Asheville","28806"," NC","328 Camelia Ln,  Asheville,  NC 28806, usa",-82.6304703,35.6051828,"328 camelia ln, asheville, nc 28806, usa"
"$1,110,000 ","5bd4ba3,141 sqft (on 0.37 acres)","912 Woodvine Rd"," Asheville","28803"," NC","912 Woodvine Rd,  Asheville,  NC 28803, usa",-82.5424676,35.4879134,"912 woodvine rd, asheville, nc 28803, usa"
"$500,000 ","4bd3ba2,346 sqft (on 0.37 acres)","32 Spring Forest Cir"," Asheville","28803"," NC","32 Spring Forest Cir,  Asheville,  NC 28803, usa",-82.5327248,35.4908204,"32 spring forest cir, asheville, nc 28803, usa"
"$300,000 ","3bd3ba1,346 sqft","118 Rotunda Cir"," Asheville","28806"," NC","118 Rotunda Cir,  Asheville,  NC 28806, usa",-82.6352399,35.6102764,"118 rotunda cir, asheville, nc 28806, usa"
"$410,990+","3bd3ba2,207 sqft","Pinehurst Plan in Fountain Park"," Asheville","28806"," NC","Pinehurst Plan in Fountain Park,  Asheville,  NC 28806, usa",-79.4694767,35.1954345,"pinehurst, nc, usa"
