"","X","sale_price","size","Address","Cities","Postal.Code","State","lon","lat","Full.Address","sqft","bath","bed","psf","Predicted.Occupancy.per.yr","ROI"
"10948",10948,309900,"2bd1ba1,196 sqft","1 Chambly Ave","Warwick",2888,"RI",-71.4139572,41.7600912,"1 chambly ave, warwick, ri 02888, usa",1196,1,2,259.11,190.7858879,0.0985019105184689
"10949",10949,595000,"3bd3ba2,245 sqft","433 Wayland Ave","Providence",2906,"RI",-71.389853,41.837082,"433 wayland ave, providence, ri 02906, usa",2245,3,3,265.03,184.9257318,0.0518646747921108
"10950",10950,6e+05,"6bd2ba2,392 sqft","79 Chestnut Hill Ave","Cranston",2920,"RI",-71.4534284,41.7956444,"79 chestnut hill ave, cranston, ri 02920, usa",2392,2,6,250.84,236.9268178,0.0574547533134675
"10951",10951,2150000,"4bd4ba3,740 sqft","29 Champlin St","Newport",2840,"RI",-71.3002737,41.4922692,"29 champlin st, newport, ri 02840, usa",3740,4,4,574.87,213.7639285,0.0239034470409144
"10952",10952,1050000,"6bd5ba4,900 sqft","38 Keene St","Providence",2906,"RI",-71.4044018,41.8322497,"38 keene st, providence, ri 02906, usa",4900,5,6,214.29,219.4723991,0.0898776053106542
"10953",10953,830000,"2bd3ba2,510 sqft","8 Kettle Point Ave","Riverside",2915,"RI",-71.3747211,41.7963129,"8 kettle point ave, riverside, ri 02915, usa",2510,3,2,330.68,204.6259511,NA
"10954",10954,579900,"3bd3ba2,868 sqft (on 0.53 acres)","22 Wood Cove Dr","Coventry",2816,"RI",-71.5985204,41.6723587,"22 wood cove dr, coventry, ri 02816, usa",2868,3,3,202.2,192.0157524,NA
"10955",10955,1199000,"8bd3ba4,500 sqft","21-23 Elton St","Providence",2906,"RI",-71.3906908,41.8320448,"21 elton st, providence, ri 02906, usa",4500,3,8,266.44,197.0442389,0.0868473288818182
"10956",10956,898000,"4bd3ba4,397 sqft (on 0.81 acres)","131 Corporate Pl","Middletown",2842,"RI",-71.2994617,41.5311666,"131 corporate pl, middletown, ri 02842, usa",4397,3,4,204.23,186.1614667,0.111945648129027
"10957",10957,299900,"2bd1ba909 sqft","41 Fox Ridge Cres","Warwick",2886,"RI",-71.455945,41.7215289,"41 fox ridge cres, warwick, ri 02886, usa",909,1,2,329.92,239.9379281,NA
"10958",10958,625000,"4bd3ba3,003 sqft (on 0.30 acres)","9 Noto Dr","North providence",2904,"RI",-71.4702175,41.8704733,"9 noto dr, north providence, ri 02904, usa",3003,3,4,208.13,135.7462456,NA
"10959",10959,165500,"5bd2ba1,600 sqft","58 Ford St","Providence",2907,"RI",-71.4301915,41.809118,"58 ford st, providence, ri 02907, usa",1600,2,5,103.44,217.6536636,0.224276271828986
"10960",10960,329900,"2bd2ba1,522 sqft","28 Sunset Ave","Providence",2909,"RI",-71.4649536,41.8136949,"28 sunset ave, providence, ri 02909, usa",1522,2,2,216.75,171.8677639,0.0330815489789188
"10961",10961,339900,"3bd1ba1,741 sqft","36 Hawthorne St","North providence",2904,"RI",-71.4601998,41.8635522,"36 hawthorne st, north providence, ri 02904, usa",1741,1,3,195.23,195.1550854,NA
"10962",10962,359000,"3bd1ba870 sqft","64-113 Burnside Ave","Narragansett",2882,"RI",-71.4760806,41.3933037,"64 burnside ave unit 113, narragansett, ri 02882, usa",870,1,3,412.64,228.1306436,0.104540257454264
"10963",10963,499000,"Studio3ba9,346 sqft (on 1.24 acres)","366 Warwick Neck Ave","Warwick",2889,"RI",-71.3788267,41.6945528,"366 warwick neck ave, warwick, ri 02889, usa",9346,3,1,53.39,155.7191267,NA
"10964",10964,345900,"3bd7ba1,456 sqft","170 Shannon Dr","Warwick",2889,"RI",-71.3896507,41.7259568,"170 shannon dr, warwick, ri 02889, usa",1456,7,3,237.57,258.2979667,0.0786879104871607
"10965",10965,1495000,"4bd6ba3,860 sqft","113 Newport Harbor Dr","Portsmouth",2871,"RI",-71.2607396,41.6234432,"113 newport harbor dr, portsmouth, ri 02871, usa",3860,6,4,387.31,195.0269898,NA
"10966",10966,385900,"3bd2ba1,933 sqft","4 Channing St","Warwick",2889,"RI",-71.3725332,41.6948108,"4 channing st, warwick, ri 02889, usa",1933,2,3,199.64,184.3031819,0.0659078494443744
"10967",10967,439000,"3bd3ba1,632 sqft (on 0.51 acres)","30 Round Lake Dr","Pascoag",2859,"RI",-71.7742899,41.9712942,"30 round lake dr, pascoag, ri 02859, usa",1632,3,3,269,230.6770862,NA
"10968",10968,275000,"3bd2ba1,838 sqft (on 1 acre)","103 A East Killingly Rd","Foster",2825,"RI",-71.7640321,41.8279502,"103 a e killingly rd, foster, ri 02825, usa",1838,2,3,149.62,206.1070108,NA
"10969",10969,8e+05,"8bd4ba4,622 sqft","150 Carpenter St","Providence",2903,"RI",-71.4237442,41.8197176,"150 carpenter st, providence, ri 02903, usa",4622,4,8,173.09,148.2968803,0.0673886299320118
"10970",10970,5e+05,"3bd2ba1,229 sqft (on 0.34 acres)","401 Tower Hill Rd","North kingstown",2852,"RI",-71.4645594,41.5642815,"401 tower hill rd, north kingstown, ri 02852, usa",1229,2,3,406.83,222.1360664,0.0623758074481688
"10971",10971,8e+05,"3bd3ba2,161 sqft","146-148 Carpenter St","Providence",2903,"RI",-71.4235935,41.8197956,"146 carpenter st, providence, ri 02903, usa",2161,3,3,370.2,235.9269257,0.0402034560492348
"10972",10972,374900,"3bd1ba1,648 sqft (on 1.89 acres)","97 Peck Hill Rd","Johnston",2919,"RI",-71.5605208,41.8026961,"97 peck hill rd, johnston, ri 02919, usa",1648,1,3,227.49,192.6879821,NA
"10973",10973,284999,"2bd1ba720 sqft","45 Ivanhoe St","Cranston",2910,"RI",-71.4435494,41.778182,"45 ivanhoe st, cranston, ri 02910, usa",720,1,2,395.83,196.8451695,0.0476574187704522
"10974",10974,594000,"3bd2ba1,800 sqft","19 Weston Ave","North kingstown",2852,"RI",-71.4655565,41.5877721,"north kingstown, ri 02852, usa",1800,2,3,330,156.1462193,NA
"10975",10975,349900,"3bd1ba1,560 sqft (on 0.25 acres)","131 Cross St","Westerly",2891,"RI",-71.8119412,41.3703663,"131 cross st, westerly, ri 02891, usa",1560,1,3,224.29,222.7673224,0.135290242979908
"10976",10976,435000,"3bd2ba1,487 sqft","481 Pine St","Providence",2907,"RI",-71.4204046,41.8119142,"481 pine st, providence, ri 02907, usa",1487,2,3,292.54,195.895996,0.0544933841297494
"10977",10977,529000,"2bd1ba1,190 sqft","569 Spring St","Newport",2840,"RI",-71.3106379,41.4735046,"569 spring st, newport, ri 02840, usa",1190,1,2,444.54,188.1943627,0.0691414394648905
"10978",10978,359000,"1bd1ba800 sqft","385 Westminster St","Providence",2903,"RI",-71.41514,41.8213772,"385 westminster st, providence, ri 02903, usa",800,1,1,448.75,245.8605117,0.0515698864025128
"10979",10979,409900,"4bd2ba2,235 sqft","147 Rankin Ave","Providence",2908,"RI",-71.4403955,41.8373234,"147 rankin ave, providence, ri 02908, usa",2235,2,4,183.4,223.1535959,0.0624903400867804
"10980",10980,419000,"4bd2ba2,020 sqft","38 Oak St","Westerly",2891,"RI",-71.821111,41.383344,"38 oak st, westerly, ri 02891, usa",2020,2,4,207.43,232.3666873,NA
"10981",10981,329000,"4bd1ba1,050 sqft","82 Stearns St","Pawtucket",2861,"RI",-71.3591147,41.893459,"82 stearns st, pawtucket, ri 02861, usa",1050,1,4,313.33,190.8595594,0.0893385171688404
"10982",10982,605000,"3bd3ba2,784 sqft (on 0.29 acres)","38 Dudley Ave","Newport",2840,"RI",-71.3052151,41.5077235,"38 dudley ave, newport, ri 02840, usa",2784,3,3,217.31,218.7635166,0.0790079807928175
"10983",10983,799000,"3bd3ba2,330 sqft (on 0.38 acres)","165 John Kesson Ln","Middletown",2842,"RI",-71.2865161,41.54796,"165 john kesson ln, middletown, ri 02842, usa",2330,3,3,342.92,186.3705356,NA
"10984",10984,349900,"3bd3ba1,560 sqft","41 Whitin Ave","Warwick",2888,"RI",-71.4025,41.7603185,"41 whitin ave, warwick, ri 02888, usa",1560,3,3,224.29,191.8578539,0.127896097243153
"10985",10985,419900,"3bd2ba2,029 sqft (on 1.10 acres)","207 Steere Farm Rd","Burrillville",2830,"RI",-71.6733376,41.9571357,"207 steere farm rd, burrillville, ri 02830, usa",2029,2,3,206.95,175.7588141,NA
"10986",10986,699900,"3bd3ba3,899 sqft (on 2.80 acres)","21 Gentry Way","Scituate",2857,"RI",-71.6464535,41.8212203,"21 gentry way, scituate, ri 02857, usa",3899,3,3,179.51,177.0878981,NA
"10987",10987,492000,"3bd2ba1,415 sqft","5 Anawan Rd","Pawtucket",2861,"RI",-71.3381566,41.8730275,"5 anawan rd, pawtucket, ri 02861, usa",1415,2,3,347.7,203.1226785,NA
"10988",10988,269900,"3bd1ba1,508 sqft","221 Unit St","Providence",2909,"RI",-71.4544488,41.8315226,"221 unit st, providence, ri 02909, usa",1508,1,3,178.98,216.5104111,0.0702796484360678
"10989",10989,524900,"3bd3ba2,425 sqft","23 Benedict Rd","Warwick",2888,"RI",-71.3927123,41.7593206,"23 benedict rd, warwick, ri 02888, usa",2425,3,3,216.45,165.5024276,0.0529483448824515
"10990",10990,389900,"6bd3ba2,569 sqft","48 Pekin St","Providence",2908,"RI",-71.424786,41.83693,"48 pekin st, providence, ri 02908, usa",2569,3,6,151.77,164.0995486,0.07684353831802
"10991",10991,405000,"3bd1ba1,008 sqft (on 0.28 acres)","10 Joan Rd","Westerly",2891,"RI",-71.8275541,41.3976143,"10 joan rd, westerly, ri 02891, usa",1008,1,3,401.79,203.6696553,NA
"10992",10992,159555,"1bd1ba526 sqft","95 Park Pl","Pawtucket",2860,"RI",-71.3875865,41.8751455,"95 park pl, pawtucket, ri 02860, usa",526,1,1,303.34,192.6265544,0.0669282354783736
"10993",10993,599000,"2bd3ba2,369 sqft","83 Preservation Way","South kingstown",2879,"RI",-71.4737653,41.4575846,"83 preservation way, south kingstown, ri 02879, usa",2369,3,2,252.85,162.7958087,NA
"10994",10994,339900,"4bd2ba1,824 sqft","62 Fort St","East providence",2914,"RI",-71.3833419,41.8131502,"62 fort st, east providence, ri 02914, usa",1824,2,4,186.35,223.5913926,0.0905153739903684
"10995",10995,498900,"3bd3ba1,632 sqft","22 Millard Ave","Warwick",2889,"RI",-71.382692,41.6952552,"22 millard ave, warwick, ri 02889, usa",1632,3,3,305.7,234.8400929,NA
"10996",10996,225000,"4bd2ba1,856 sqft (on 2.17 acres)","15 Collins Rd","Bradford",2804,"RI",-71.7265547,41.4381288,"15 collins rd, ashaway, ri 02804, usa",1856,2,4,121.23,200.5800254,NA
"10997",10997,669000,"6bd4ba3,303 sqft","581 East Ave","Pawtucket",2860,"RI",-71.3886766,41.8624464,"581 east ave, pawtucket, ri 02860, usa",3303,4,6,202.54,247.0162158,1.44000484546248
"10998",10998,342000,"3bd2ba2,058 sqft","74 Allen Ave","North providence",2911,"RI",-71.4797363,41.8518267,"74 allen ave, north providence, ri 02911, usa",2058,2,3,166.18,142.6780596,0.022653270861163
"10999",10999,499000,"5bd2ba2,135 sqft","209 Windmill St","North providence",2904,"RI",-71.417458,41.859764,"209 windmill st, providence, ri 02904, usa",2135,2,5,233.72,210.7012703,0.083780849109613
"11000",11000,649900,"5bd4ba3,524 sqft (on 0.55 acres)","55 Waterman Ave","Warwick",2889,"RI",-71.3956811,41.7285445,"55 waterman ave, warwick, ri 02889, usa",3524,4,5,184.42,186.2954245,NA
"11001",11001,399000,"3bd1ba2,021 sqft","120 Obed Ave","North providence",2904,"RI",-71.4204974,41.8670923,"120 obed ave, north providence, ri 02904, usa",2021,1,3,197.43,206.2060875,0.0442128591187013
"11002",11002,625000,"3bd3ba2,930 sqft","2 Narragansett Ave","Riverside",2915,"RI",-71.3665489,41.7697817,"2 narragansett ave, riverside, ri 02915, usa",2930,3,3,213.31,230.4743078,0.0823868825759022
"11003",11003,349900,"4bd2ba2,498 sqft","10 Brown St","Pawtucket",2860,"RI",-71.3903002,41.8715312,"10 brown st, pawtucket, ri 02860, usa",2498,2,4,140.07,204.4265178,0.105163684481378
"11004",11004,571000,"4bd2ba2,250 sqft","23-25 Woodbine St","Providence",2906,"RI",-71.4044451,41.8455868,"23 woodbine st, providence, ri 02906, usa",2250,2,4,253.78,214.1633225,0.0694197880711392
