"sale_price","size","name"
"$79,000","","2 Huffman Rd, Asheville, NC 28806LISTED 27 DAYS AGO"
"$398,990+","3bd2ba1,559 sqft","Davidson Plan in Fountain Park, Asheville, NC 28806"
"$575,000","","422 Reservoir Rd   #2R, Asheville, NC 28801LISTED 29 DAYS AGO"
"$699,000","2bd3ba3,142 sqft (on 1.49 acres)","22 Indian Knob Rd, Asheville, NC 28803LISTED 29 DAYS AGO"
"$365,000","1bd1ba760 sqft","225 Bowling Park Rd   #225, Asheville, NC 28803LISTED 31 DAYS AGO"
"$230,000","","163 Riverbend Forest Dr   #10, Asheville, NC 28805LISTED 30 DAYS AGO"
"$1,300,000","1bd2ba1,502 sqft","7 Patton Ave  #1807, Asheville, NC 28801LISTED 30 DAYS AGO"
"$550,000","5bd4ba3,088 sqft (on 0.60 acres)","15 Gardenwood Dr, Asheville, NC 28803LISTED 33 DAYS AGO"
"$545,000","4bd2ba2,053 sqft (on 0.29 acres)","488 Kenilworth Rd, Asheville, NC 28805LISTED 34 DAYS AGO"
"$305,000","2bd1ba792 sqft (on 0.38 acres)","124 Concord Rd, Asheville, NC 28803LISTED 30 DAYS AGO"
"$275,000","3bd1ba928 sqft (on 0.31 acres)","2 Wisteria Ct, Asheville, NC 28806LISTED 32 DAYS AGO"
"$489,900","3bd3ba1,657 sqft","15 Cane St   #6, Asheville, NC 28806LISTED 31 DAYS AGO"
"$649,000","2bd3ba1,430 sqft (on 0.28 acres)","109 Thurland Ave, Asheville, NC 28803LISTED 31 DAYS AGO"
"$165,000","","35 Olivette Crossing Pkwy #72, Asheville, NC 28804LISTED 31 DAYS AGO"
"$295,000","","311 Broad Vista Ln   #69, Asheville, NC 28804LISTED 31 DAYS AGO"
"$195,000","","406 Blue Mind Way  #75, Asheville, NC 28804LISTED 31 DAYS AGO"
"$209,900","3bd2ba1,216 sqft (on 0.49 acres)","54 Hopedale Cir, Asheville, NC 28806LISTED 30 DAYS AGO"
"$1,740,000","5bd4ba5,833 sqft (on 2.36 acres)","514 Sondley Dr S, Asheville, NC 28805LISTED 31 DAYS AGO"
"$169,000","","119 Caledonia Rd   #5, Asheville, NC 28803LISTED 32 DAYS AGO"
"$799,000","2bd2ba1,347 sqft","61 Church St   #301, Asheville, NC 28801LISTED 32 DAYS AGO"
"$180,000","Studio","5 Owenby Rd, Candler, NC 28715LISTED 32 DAYS AGO"
"$359,000","3bd1ba1,225 sqft","277 Pisgah View Rd, Asheville, NC 28806LISTED 33 DAYS AGO"
"$465,000","5bd3ba2,734 sqft (on 0.42 acres)","664 New Haw Creek Rd, Asheville, NC 28805LISTED 32 DAYS AGO"
"$250,000","","27 Summit Tower Cir, Asheville, NC 28804LISTED 32 DAYS AGO"
"$575,000","4bd3ba1,998 sqft (on 0.37 acres)","21 Moss Pink Pl, Asheville, NC 28806LISTED 32 DAYS AGO"
"$425,000","","67 Oak Hill Dr, Asheville, NC 28806LISTED 33 DAYS AGO"
"$1,229,000","1bd2ba1,746 sqft","7 Patton Ave  #1803, Asheville, NC 28801LISTED 33 DAYS AGO"
"$455,000","3bd3ba1,354 sqft","74 Shiloh Rd, Asheville, NC 28803LISTED 33 DAYS AGO"
"$470,000","3bd2ba1,161 sqft","20 Broadview Ave, Asheville, NC 28803LISTED 33 DAYS AGO"
"$595,000","3bd3ba1,607 sqft (on 0.28 acres)","18 Sunnyside Ln, Asheville, NC 28804LISTED 33 DAYS AGO"
"$439,900","2bd1ba1,288 sqft (on 3.99 acres)","223 E  Oakview Rd, Asheville, NC 28806LISTED 34 DAYS AGO"
"$650,000","4bd4ba3,376 sqft","109 Trumpet Ln, Asheville, NC 28803LISTED 34 DAYS AGO"
"$389,000","3bd2ba1,188 sqft (on 1.10 acres)","18 Westview Ln, Asheville, NC 28803LISTED 34 DAYS AGO"
"$435,000","3bd2ba1,815 sqft (on 0.49 acres)","9 Kildare Pl, Asheville, NC 28806LISTED 36 DAYS AGO"
"$1,850,000","4bd4ba3,781 sqft (on 12.57 acres)","134 Stonecrest Dr, Asheville, NC 28803LISTED 44 DAYS AGO"
"$200,000","","1765 Old Haywood Rd   #1-4-99999, Asheville, NC 28806LISTED 37 DAYS AGO"
"$225,800","","Vance Gap Rd, Asheville, NC 28804LISTED 37 DAYS AGO"
"$750,000","4bd4ba3,108 sqft","121 Trumpet Ln, Asheville, NC 28803LISTED 37 DAYS AGO"
"$1,150,000","2bd1ba1,121 sqft (on 0.32 acres)","21 Pearl St, Asheville, NC 28801LISTED 37 DAYS AGO"
"$449,000","4bd3ba1,927 sqft","17 Ashwood Dr, Asheville, NC 28803LISTED 37 DAYS AGO"
"$430,000","4bd3ba2,531 sqft","123 Willow Lake Dr, Asheville, NC 28805LISTED 40 DAYS AGO"
"$409,000","3bd2ba1,322 sqft (on 0.85 acres)","8 Split Rail Dr, Asheville, NC 28806LISTED 37 DAYS AGO"
"$285,000","2bd1ba868 sqft (on 0.54 acres)","54 Wellington Dr   #6-12, Asheville, NC 28804LISTED 38 DAYS AGO"
"$275,000","4bd1,468 sqft (on 0.33 acres)","18/20 McPherson St   #14/15, Asheville, NC 28804LISTED 38 DAYS AGO"
"$775,000","3bd4ba1,843 sqft","6 Bauhaus Ct, Asheville, NC 28801LISTED 3 DAYS AGO"
"$649,000","4bd3ba2,519 sqft (on 0.43 acres)","7 Ballantree Dr, Asheville, NC 28803LISTED 38 DAYS AGO"
"$600,000","3bd3ba2,942 sqft (on 0.52 acres)","10 S  Oak Forest Dr, Asheville, NC 28803LISTED 38 DAYS AGO"
"$715,000","3bd2ba1,946 sqft (on 0.92 acres)","26 Utopia Rd, Asheville, NC 28805LISTED 38 DAYS AGO"
"$314,000","2bd2ba1,232 sqft (on 0.80 acres)","272 Parker Rd, Asheville, NC 28805LISTED 38 DAYS AGO"
"$380,000","1bd1ba762 sqft","324 Bowling Park Rd #324, Asheville, NC 28803LISTED 38 DAYS AGO"
"$529,000","3bd3ba1,770 sqft","95 Baker Ave, Asheville, NC 28806LISTED 39 DAYS AGO"
"$200,000","","99999 Maplewood Rd, Asheville, NC 28804LISTED 39 DAYS AGO"
"$489,500","3bd2ba1,832 sqft (on 0.25 acres)","20 Park Ave, Asheville, NC 28803LISTED 39 DAYS AGO"
"$775,000","3bd3ba2,223 sqft (on 0.62 acres)","223 Robinhood Rd, Asheville, NC 28804LISTED 39 DAYS AGO"
"$357,000","3bd2ba2,000 sqft (on 2.59 acres)","48 Country Gardens Ln, Asheville, NC 28806LISTED 39 DAYS AGO"
"$1,049,000","8bd4ba5,384 sqft (on 0.68 acres)","349 Country Club Rd, Asheville, NC 28804LISTED 40 DAYS AGO"
